name	category	bundled	note
mutter	MESON-SUBPROJECTS-VENDORED	subprojects	subprojects/ contains vendored trees: ['gvdb']
nasm	BENIGN-CONTRIB-LIKELY	contrib	contrib/ dir alone, usually tests/examples/doc-only
netavark	HANDLED	contrib	explicit tar xf in build.sh OR multi-source
networkmanager	BENIGN-CONTRIB-LIKELY	contrib	contrib/ dir alone, usually tests/examples/doc-only
networkmanager-pass1	BENIGN-CONTRIB-LIKELY	contrib	contrib/ dir alone, usually tests/examples/doc-only
nghttp2	NEEDS-MANUAL-REVIEW	contrib,third-party	multi-bundled: ['contrib', 'third-party']
nodejs	NEEDS-MANUAL-REVIEW	deps	multi-bundled: ['deps']
openldap	BENIGN-CONTRIB-LIKELY	contrib	contrib/ dir alone, usually tests/examples/doc-only
openssh	BENIGN-CONTRIB-LIKELY	contrib	contrib/ dir alone, usually tests/examples/doc-only
p11-kit	MESON-SUBPROJECTS-VENDORED	subprojects	subprojects/ contains vendored trees: ['pkcs11-json']
pango	MESON-SUBPROJECTS-VENDORED	subprojects	subprojects/ contains vendored trees: ['fontconfig', 'gperf']
pangomm	MESON-SUBPROJECTS-WRAP	subprojects	3 .wrap fallbacks, no vendored trees — benign
pangomm1	MESON-SUBPROJECTS-WRAP	subprojects	3 .wrap fallbacks, no vendored trees — benign
passt	BENIGN-CONTRIB-LIKELY	contrib	contrib/ dir alone, usually tests/examples/doc-only
pipewire	MESON-SUBPROJECTS-WRAP	subprojects	4 .wrap fallbacks, no vendored trees — benign
podman	NEEDS-MANUAL-REVIEW	contrib,vendor	multi-bundled: ['contrib', 'vendor']
protobuf	NEEDS-MANUAL-REVIEW	third_party	third_party/ bundling without explicit extract or multi-source
pulseaudio	MESON-SUBPROJECTS-WRAP	subprojects	1 .wrap fallbacks, no vendored trees — benign
pygments	NEEDS-MANUAL-REVIEW	external	external/ bundling without explicit extract or multi-source
pygobject3	MESON-SUBPROJECTS-VENDORED	subprojects	subprojects/ contains vendored trees: ['gobject-introspection-tests', 'packagefiles', 'pythoncapi-compat']
rapidjson	BENIGN-CONTRIB-LIKELY	contrib	contrib/ dir alone, usually tests/examples/doc-only
rust	HANDLED	vendor	explicit tar xf in build.sh OR multi-source
samba	NEEDS-MANUAL-REVIEW	third_party	third_party/ bundling without explicit extract or multi-source
sdl2-ttf	NEEDS-MANUAL-REVIEW	external	external/ bundling without explicit extract or multi-source
serd	MESON-SUBPROJECTS-WRAP	subprojects	1 .wrap fallbacks, no vendored trees — benign
shaderc	NEEDS-MANUAL-REVIEW	DEPS,third_party	multi-bundled: ['DEPS', 'third_party']
snapshot	HANDLED	vendor	explicit tar xf in build.sh OR multi-source
spidermonkey	NEEDS-MANUAL-REVIEW	third_party	third_party/ bundling without explicit extract or multi-source
spirv-tools	NEEDS-MANUAL-REVIEW	DEPS,external	multi-bundled: ['DEPS', 'external']
sratom	MESON-SUBPROJECTS-WRAP	subprojects	1 .wrap fallbacks, no vendored trees — benign
suil	MESON-SUBPROJECTS-WRAP	subprojects	1 .wrap fallbacks, no vendored trees — benign
svt-av1	NEEDS-MANUAL-REVIEW	third_party	third_party/ bundling without explicit extract or multi-source
